Generation,Orientation Avg,Orientation Stdev,Velocity Avg,Velocity Stdev,Count
0,0.0956972850861,0.0071177497275,0.021895254242,0.00818763733819,10
1,0.0605316811536,0.011969087274,0.00722089518467,0.00311716258319,10
2,0.0491220299122,0.0122101378965,0.00522823810995,0.00223455380286,10
3,0.0474354236462,0.0142540038163,0.00587278743151,0.00371733996852,10
4,0.0448383517274,0.017038372593,0.00474744601009,0.003282064138,10
5,0.0445757598412,0.00982873314554,0.00345508756959,0.00175241054797,10
6,0.043529143192,0.0139661585666,0.00364000962004,0.00228835294735,10
7,0.0439414726016,0.0143720055135,0.00319995989295,0.00149389336141,10
8,0.0435860523491,0.0158595435163,0.00282595876082,0.00169510756076,10
9,0.0468768050621,0.0209277169079,0.00247431721341,0.00167443182563,10
10,0.0442018585942,0.0195477177771,0.00245127155741,0.00200757639881,10
11,0.0414058399462,0.0163638769365,0.00262773362429,0.00177541419184,10
12,0.0436465601906,0.0173015210224,0.00306921091894,0.0024901430151,10
13,0.0391716477532,0.0141715378548,0.00274152015633,0.00177497725571,10
14,0.0372652609269,0.0169562308484,0.0024133309401,0.00180777454586,9
15,0.0454469170458,0.0178385265601,0.00288583916592,0.00136395124856,6
16,0.0444378563261,0.0183008218606,0.00190077623106,0.00161667633063,5
17,0.0391405929972,0.0137442781441,0.00220412534893,0.00121745857258,5
18,0.0397356750375,0.0126488467614,0.002246209542,0.00097038210916,5
19,0.0358479845404,0.00697191789716,0.0041915626589,0.000270344493659,2
20,0.0305449379239,0.000927981417207,0.00283045542124,0.00121086085588,2
21,0.037355672015,0.0127366485783,0.00473369115765,7.97564867217e-05,2
22,0.0295964414758,0.0,0.00317682639058,0.0,1
23,0.0308064100943,0.0,0.0029553131503,0.0,1
24,0.0379671086003,0.0,0.00281023288612,0.0,1
25,0.0328609602335,0.0,0.00289847702396,0.0,1
26,0.0303565780754,0.0,0.00233024277866,0.0,1
27,0.0258441177629,0.0,0.00224538760441,0.0,1
