Step,Best,Average
1,300,4
2,1200,101
3,1200,65
4,1400,124
5,1700,307
6,1700,354
7,1700,252
8,1900,388
9,2500,833
10,2000,718
11,1900,824
12,1800,820
13,2100,1011
14,2100,1109
15,1800,276
16,700,158
17,2000,494
18,2100,1250
19,1900,241
20,2000,1124
21,2200,1325
22,2700,1471
23,1700,602
24,1500,534
25,2500,1382
26,1600,467
27,1900,1169
28,1000,334
29,1400,668
30,2100,565
31,1500,557
32,2100,1411
33,2300,1246
34,1100,566
35,1400,771
36,600,326
37,0,0
38,0,0
39,500,376
40,300,283
41,800,283
42,600,600
43,1000,595
44,800,580
45,500,6
46,1000,416
47,900,564
48,300,209
49,0,0
50,0,0
51,200,194
52,200,200
53,1200,400
54,1400,656
55,1300,545
56,2000,1127
57,2200,1013
58,2300,1068
59,1400,477
60,2000,838
61,1500,1113
62,2000,1200
63,1400,827
64,800,350
65,1200,959
66,300,235
67,1000,609
68,600,461
69,1200,507
70,400,288
71,1300,868
72,400,327
73,0,0
74,100,100
75,300,215
76,200,200
77,600,119
78,2000,646
79,1600,608
80,1200,471
81,0,0
82,300,300
83,100,100
84,800,575
85,900,222
86,800,492
87,500,402
88,1200,665
89,600,408
90,1500,895
91,1600,700
92,200,200
93,500,217
94,200,200
95,1300,514
96,1200,235
97,900,371
98,1900,627
99,0,0
100,2300,1179
101,1200,367
102,1800,591
103,900,517
104,1000,649
105,600,282
106,1100,406
107,1900,803
108,0,0
109,0,0
110,900,650
111,600,594
112,1700,709
113,200,200
114,2100,639
115,500,500
116,900,580
117,1600,520
118,100,100
119,1900,626
120,2200,688
121,1000,455
122,800,699
123,1400,799
124,2000,559
125,1000,240
126,600,510
127,400,400
128,100,5
129,0,0
130,0,0
131,1100,508
132,300,92
133,1100,561
134,1900,722
135,1300,556
136,200,200
137,400,132
138,900,559
139,0,0
140,1400,706
141,1700,370
142,0,0
143,700,408
144,500,283
145,1000,703
146,1000,541
147,1500,591
148,500,390
149,200,200
150,0,0
151,400,307
152,300,300
153,400,182
154,1100,592
155,1500,669
156,1800,1069
157,1300,401
158,800,515
159,1200,438
160,2000,869
161,400,103
162,200,200
163,0,0
164,1400,916
165,1100,519
166,1600,771
167,1500,849
168,300,297
169,800,320
170,1700,597
171,700,455
172,600,256
173,200,200
174,1700,668
175,300,300
176,2300,1001
177,500,500
178,1400,703
179,1900,865
180,1900,678
181,100,100
182,600,525
183,2100,710
184,1300,618
185,1900,867
186,400,400
187,1300,569
188,200,200
189,500,500
190,2100,1270
191,1600,766
192,300,217
193,1200,714
194,2200,964
195,1700,1027
196,1300,536
197,1200,486
198,300,300
199,500,500
